Observation	System_A	System_B	Difference
467	0.32739000	0.33416000	-0.00677000
468	0.33670000	0.35390000	-0.01720000
469	0.32780000	0.32263000	0.00517000
470	0.32187000	0.33284000	-0.01097000
471	0.31620000	0.33685000	-0.02065000
472	0.33381000	0.34652000	-0.01271000
473	0.32025000	0.30886000	0.01139000
474	0.32583000	0.33476000	-0.00893000
475	0.31343000	0.31339000	0.00004000
476	0.33846000	0.34992000	-0.01146000
477	0.32081000	0.31286000	0.00795000
478	0.31008000	0.32612000	-0.01604000
479	0.31643000	0.32534000	-0.00891000
480	0.36936000	0.37097000	-0.00161000
481	0.36386000	0.36374000	0.00012000
482	0.37341000	0.37401000	-0.00060000
483	0.36244000	0.39276000	-0.03032000
484	0.36134000	0.37333000	-0.01199000
485	0.35530000	0.37398000	-0.01868000
486	0.36656000	0.35489000	0.01167000
487	0.37605000	0.37776000	-0.00171000
488	0.36846000	0.37118000	-0.00272000
489	0.36930000	0.37905000	-0.00975000
490	0.35424000	0.36048000	-0.00624000
491	0.36393000	0.38466000	-0.02073000
492	0.35657000	0.36141000	-0.00484000
493	0.35786000	0.37137000	-0.01351000
494	0.35624000	0.34448000	0.01176000
495	0.36671000	0.38425000	-0.01754000
496	0.35271000	0.36796000	-0.01525000
497	0.35972000	0.37616000	-0.01644000
498	0.34579000	0.33738000	0.00841000
499	0.35947000	0.39326000	-0.03379000
500	0.36594000	0.37521000	-0.00927000
501	0.36144000	0.36359000	-0.00215000
502	0.34180000	0.34896000	-0.00716000
503	0.36343000	0.36522000	-0.00179000
504	0.35776000	0.37589000	-0.01813000
505	0.33637000	0.37266000	-0.03629000
506	0.33727000	0.34604000	-0.00877000
507	0.33573000	0.38450000	-0.04877000
508	0.33910000	0.37278000	-0.03368000
509	0.34068000	0.36461000	-0.02393000
510	0.35670000	0.34860000	0.00810000
511	0.35679000	0.37459000	-0.01780000
512	0.37445000	0.36573000	0.00872000
513	0.33295000	0.35759000	-0.02464000
514	0.36102000	0.35257000	0.00845000
515	0.34311000	0.37924000	-0.03613000
516	0.34905000	0.37450000	-0.02545000
517	0.33923000	0.36574000	-0.02651000
518	0.35234000	0.34303000	0.00931000
519	0.36206000	0.37586000	-0.01380000
520	0.35444000	0.37252000	-0.01808000
521	0.33869000	0.37353000	-0.03484000
522	0.34719000	0.35580000	-0.00861000
523	0.35007000	0.37119000	-0.02112000
524	0.33793000	0.36134000	-0.02341000
525	0.34102000	0.36577000	-0.02475000
526	0.33650000	0.34851000	-0.01201000
527	0.35028000	0.36874000	-0.01846000
528	0.34316000	0.38260000	-0.03944000
529	0.34329000	0.37055000	-0.02726000
530	0.34935000	0.33050000	0.01885000
531	0.33818000	0.37358000	-0.03540000
532	0.33979000	0.36989000	-0.03010000
533	0.32900000	0.36006000	-0.03106000
534	0.32178000	0.35411000	-0.03233000
535	0.33625000	0.37345000	-0.03720000
536	0.32555000	0.36169000	-0.03614000
537	0.33259000	0.36293000	-0.03034000
538	0.31373000	0.36103000	-0.04730000
539	0.34962000	0.37150000	-0.02188000
540	0.34261000	0.35819000	-0.01558000
541	0.34320000	0.35545000	-0.01225000
542	0.34432000	0.33698000	0.00734000
543	0.33258000	0.36795000	-0.03537000
544	0.33772000	0.36627000	-0.02855000
545	0.33953000	0.36250000	-0.02297000
546	0.34246000	0.35030000	-0.00784000
547	0.33832000	0.35689000	-0.01857000
548	0.35172000	0.36566000	-0.01394000
549	0.33536000	0.35018000	-0.01482000
550	0.33279000	0.34449000	-0.01170000
551	0.34126000	0.37429000	-0.03303000
552	0.34767000	0.36350000	-0.01583000
553	0.33654000	0.36859000	-0.03205000
554	0.34573000	0.35574000	-0.01001000
555	0.32998000	0.37950000	-0.04952000
556	0.32980000	0.35922000	-0.02942000
557	0.33915000	0.36904000	-0.02989000
558	0.34520000	0.35136000	-0.00616000
559	0.35057000	0.38281000	-0.03224000
560	0.34273000	0.36649000	-0.02376000
561	0.34230000	0.35213000	-0.00983000
562	0.33470000	0.34363000	-0.00893000
563	0.32667000	0.37183000	-0.04516000
564	0.32500000	0.37128000	-0.04628000
565	0.31114000	0.36989000	-0.05875000
566	0.32486000	0.33570000	-0.01084000
567	0.32606000	0.35833000	-0.03227000
568	0.32369000	0.35972000	-0.03603000
569	0.31722000	0.35431000	-0.03709000
570	0.36118000	0.32232000	0.03886000
571	0.35241000	0.35653000	-0.00412000
572	0.36054000	0.35486000	0.00568000
573	0.34878000	0.35248000	-0.00370000
574	0.34746000	0.33127000	0.01619000
575	0.34856000	0.35815000	-0.00959000
576	0.37085000	0.36793000	0.00292000
577	0.36302000	0.35887000	0.00415000
578	0.35583000	0.32635000	0.02948000
579	0.35478000	0.36855000	-0.01377000
580	0.35287000	0.37256000	-0.01969000
581	0.35285000	0.33759000	0.01526000
582	0.35634000	0.33887000	0.01747000
583	0.35302000	0.35234000	0.00068000
584	0.37554000	0.34778000	0.02776000
585	0.35984000	0.33384000	0.02600000
586	0.36127000	0.33553000	0.02574000
587	0.36058000	0.36201000	-0.00143000
588	0.35914000	0.35934000	-0.00020000
589	0.35654000	0.32613000	0.03041000
590	0.34330000	0.33926000	0.00404000
591	0.35317000	0.36433000	-0.01116000
592	0.36019000	0.35740000	0.00279000
593	0.35443000	0.34914000	0.00529000
594	0.34657000	0.32514000	0.02143000
595	0.34881000	0.36771000	-0.01890000
596	0.34359000	0.36504000	-0.02145000
597	0.35337000	0.33404000	0.01933000
598	0.33772000	0.33489000	0.00283000
599	0.35589000	0.34869000	0.00720000
